id,name,state,category,featured
808,Visiting Care Companions Inc,CALIFORNIA,HEALTH_CARE,
809,Foundation For Advancing Veterans Health Research Inc,TEXAS,MEDICAL_RESEARCH,NATIONAL
810,Aquia Harbour Property Owners Association Inc,VIRGINIA,OTHER,
811,The Academy Charter School,NEW_YORK,K_12,
812,Ronald Mc Donald House Charities Of Rochester Ny,NEW_YORK,UNCATEGORIZED,
813,Blythedale Childrens Hospital,NEW_YORK,HEALTH_CARE,STATE
814,Transition House,CALIFORNIA,HOUSING_SHELTER,
815,Reedsburg Area Medical Center Inc,WISCONSIN,HEALTH_CARE,STATE
816,Crown Hill Heritage Foundation Inc,INDIANA,ARTS_CULTURE_HUMANITIES,STATE
817,Codeva Inc,VIRGINIA,OTHER,
818,National Consumers League Inc,DISTRICT_OF_COLUMBIA,PUBLIC_SOCIETAL_BENEFIT,
819,Kettering Medical Center,OHIO,HEALTH_CARE,STATE
820,United Way Of Chester County,PENNSYLVANIA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,
821,Karachi American Society School,DISTRICT_OF_COLUMBIA,OTHER,STATE
822,Mercy Haven Inc,NEW_YORK,HOUSING_SHELTER,NATIONAL
823,Healthcare Alternative Systems Inc,ILLINOIS,MENTAL_HEALTH_CRISIS_INTERVENTION,
824,Refugepoint Inc,MASSACHUSETTS,INTERNATIONAL_FOREIGN_AFFAIRS_NATIONAL_SECURITY,
825,Mother Waddles Community Outreach Inc,MICHIGAN,HUMAN_SERVICES,STATE
826,Good Samaritan Clinic Inc,NORTH_CAROLINA,HEALTH_CARE,
827,New Orleans Workers Center For Racial Justice,LOUISIANA,CIVIL_RIGHTS_SOCIAL_ACTION_ADVOCACY,
828,Coast Guard Mutual Assistance Incorporated,VIRGINIA,HUMAN_SERVICES,
829,Rafiki Coalition For Health And Wellness,CALIFORNIA,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,STATE
830,Bergen Arts And Science Charter School,NEW_JERSEY,K_12,NATIONAL
831,Learning Community Charter School Inc,RHODE_ISLAND,K_12,
832,Leonardo Da Vinci Health Sciences Charter School,CALIFORNIA,K_12,NATIONAL
833,Richard Saltonstall Charitable Foundation,MASSACHUSETTS,OTHER,STATE
834,Bahia Corinthian Yacht Club,CALIFORNIA,OTHER,NATIONAL
835,Greater Texas Services Inc,TEXAS,OTHER,NATIONAL
836,American Friends Of Kiryat Sanz Laniado Hospital Inc,NEW_YORK,HEALTH_CARE,
837,Carmel Richmond Nursing Home Inc,NEW_YORK,HEALTH_CARE,STATE
838,Catholic Migration Services Inc,NEW_YORK,CRIME_LEGAL_RELATED,STATE
839,E Tron Systems Inc,VIRGINIA,UNCATEGORIZED,
840,Wabash Mutual Telephone Co,OHIO,UNCATEGORIZED,
841,University Of Arkansas,ARKANSAS,HIGHER_EDUCATION,
842,Koce Tv Foundation,CALIFORNIA,ARTS_CULTURE_HUMANITIES,STATE
843,Villages Of Indiana Foundation Inc,INDIANA,HUMAN_SERVICES,STATE
844,Life Concepts Inc,FLORIDA,HUMAN_SERVICES,
845,Alternatives Aba Inc,MASSACHUSETTS,HUMAN_SERVICES,
846,Kearney Area Community Foundation,NEBRASKA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
847,Evelyn Rubenstein Jewish Community Center Of Houston Texas,TEXAS,PUBLIC_SOCIETAL_BENEFIT,
848,St Luke Residential Health Care Facility Inc,NEW_YORK,HEALTH_CARE,
849,Los Angeles Firemens Relief Association,CALIFORNIA,OTHER,STATE
850,Christodora Inc,NEW_YORK,YOUTH_DEVELOPMENT,STATE
851,Njcpa Education Foundation Inc,NEW_JERSEY,K_12,NATIONAL
852,Seven Hills Foundation Inc,MASSACHUSETTS,HUMAN_SERVICES,NATIONAL
853,American Friends Of The Tel Aviv University Inc,NEW_YORK,OTHER,STATE
854,National Council Of The Paper Ind For Air Stream Improvement Inc,NORTH_CAROLINA,OTHER,
855,Durand Inc,NEW_JERSEY,K_12,STATE
856,Pets In Need,CALIFORNIA,ANIMAL_RELATED,
857,Evangelical Retirement Homes Of Greater Chicago Inc,ILLINOIS,HUMAN_SERVICES,NATIONAL
858,Arc Of Camden County Inc,NEW_JERSEY,UNCATEGORIZED,
859,Child Haven Inc,CALIFORNIA,HUMAN_SERVICES,STATE
860,Troopsdirect Inc,CALIFORNIA,PUBLIC_SOCIETAL_BENEFIT,
861,Lad Lake Inc,WISCONSIN,UNCATEGORIZED,
862,Saratoga Independent School Inc,NEW_YORK,K_12,
863,Air Force Museum Foundation Inc,OHIO,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,STATE
864,Americas Second Harvest Of Coastal Georgia Inc,GEORGIA,FOOD_AGRICULTURE_NUTRITION,
865,Lillian Albert Small Capital Jewish Museum Inc,DISTRICT_OF_COLUMBIA,ARTS_CULTURE_HUMANITIES,NATIONAL
866,Adoption Rhode Island,RHODE_ISLAND,HUMAN_SERVICES,
867,Archdiocese Of Seattle,,RELIGION_RELATED,
868,Family Young Mens Christian Association Of Marion Polk Count,OREGON,HUMAN_SERVICES,
869,St Francis Area Developement Center,ARKANSAS,UNCATEGORIZED,
870,Boys And Girls Clubs Of Greater Conejo Valley Inc,CALIFORNIA,YOUTH_DEVELOPMENT,
871,Avant Garde Academy Inc,FLORIDA,RELIGION_RELATED,
872,Rush Health Systems Inc,MISSISSIPPI,HEALTH_CARE,NATIONAL
873,Friends Of Puerto Rico,DISTRICT_OF_COLUMBIA,ARTS_CULTURE_HUMANITIES,NATIONAL
874,Vanguard School Of Lake Wales Florida Inc,FLORIDA,K_12,
875,Medgar Evers Educational Foundation Inc,NEW_YORK,HIGHER_EDUCATION,
876,Bay Area Rescue Mission,CALIFORNIA,HOUSING_SHELTER,STATE
877,Hillview Retirement Center,OHIO,HUMAN_SERVICES,NATIONAL
878,Mid Ohio Foodbank,OHIO,FOOD_AGRICULTURE_NUTRITION,STATE
879,Oregon Cultural Trust,OREGON,ARTS_CULTURE_HUMANITIES,STATE
880,Northwest Michigan Community Action Agency Inc,MICHIGAN,HUMAN_SERVICES,NATIONAL
881,Free Accepted Masons Of Georgia,GEORGIA,HUMAN_SERVICES,NATIONAL
882,Explore Excel Charter School,NEW_YORK,K_12,
883,Foundation Of Montana State University Billings,MONTANA,HIGHER_EDUCATION,
884,Community Foundation Partnership Inc,INDIANA,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
885,White Ribbon Alliance For Safe Motherhood Inc,DISTRICT_OF_COLUMBIA,CIVIL_RIGHTS_SOCIAL_ACTION_ADVOCACY,
886,Conservancy For Cuyahoga Valley National Park,OHIO,K_12,STATE
887,Rose House,NEW_JERSEY,HUMAN_SERVICES,
888,Library Company Of Philadelphia,PENNSYLVANIA,COMMUNITY,
889,Indiana Lions Eye Bank Inc,INDIANA,UNCATEGORIZED,
890,Kansas Senior Living Inc,KANSAS,HUMAN_SERVICES,
891,Resurge International,CALIFORNIA,INTERNATIONAL_FOREIGN_AFFAIRS_NATIONAL_SECURITY,NATIONAL
892,Apostolic Christian Care Inc,INDIANA,HUMAN_SERVICES,STATE
893,Amyotrophic Lateral Sclerosis Assn,VIRGINIA,MEDICAL_RESEARCH,
894,Peaceful Living,PENNSYLVANIA,HUMAN_SERVICES,
895,Enterprise Professional Services Inc,TEXAS,EMPLOYMENT,STATE
896,Fort Defiance Housing Corporation,NEW_MEXICO,HUMAN_SERVICES,
897,Kings Academy Inc,FLORIDA,K_12,
898,Washington State Auto Dealers Association,WASHINGTON,OTHER,
899,Holzer Hospital Foundation,OHIO,HEALTH_CARE,
900,Center For Specialized Realtor Education Inc,ILLINOIS,UNCATEGORIZED,STATE
901,Chicago Vicinity Laborers,ILLINOIS,OTHER,NATIONAL
902,Chicago White Sox Charities Inc,ILLINOIS,HUMAN_SERVICES,
903,Department Of Texas Veterans Of Foreign Wars Foundation,TEXAS,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
904,Joshua Inc,COLORADO,K_12,NATIONAL
905,Umpqua Valley Defense Services Inc,OREGON,UNKNOWN,NATIONAL
906,Community Foundation Of Southern Wisconsin Inc,WISCONSIN,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,NATIONAL
907,Citizens For Responsible Energy Solutions Forum,DISTRICT_OF_COLUMBIA,ENVIRONMENT,STATE
908,Global Disciples,PENNSYLVANIA,RELIGION_RELATED,
909,Lincoln Community Club,NORTH_DAKOTA,PUBLIC_SOCIETAL_BENEFIT,NATIONAL
910,Society Of St Vincent De Paul Archdiocese Of Galveston Houston,TEXAS,HUMAN_SERVICES,
911,Oak Park Residence Corp,ILLINOIS,OTHER,STATE
912,Lowcountry Aids Services,SOUTH_CAROLINA,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,
913,Madison Area Rehabilitation Centers Inc,WISCONSIN,UNCATEGORIZED,STATE
914,Normative Services Inc,WYOMING,HUMAN_SERVICES,STATE
915,Amite County Medical Services Inc,MISSISSIPPI,HEALTH_CARE,
916,Cape Canaveral Hospital Inc,FLORIDA,HEALTH_CARE,NATIONAL
917,Educational Radio Foundation Of East Texas Inc,TEXAS,ARTS_CULTURE_HUMANITIES,STATE
918,Service Inc Of Illinois,ILLINOIS,HUMAN_SERVICES,
919,Pike Place Market,,UNCATEGORIZED,
920,North Carolina Coalition Against Sexual Assault Inc,NORTH_CAROLINA,UNCATEGORIZED,
921,Habitat For Humanity North Central Georgia,GEORGIA,HOUSING_SHELTER,
922,New Century School,MINNESOTA,K_12,
923,Illinois Assn Of Realtors,ILLINOIS,OTHER,STATE
924,Population Services International,DISTRICT_OF_COLUMBIA,INTERNATIONAL_FOREIGN_AFFAIRS_NATIONAL_SECURITY,STATE
925,Algonquin Club Of Boston,MASSACHUSETTS,OTHER,STATE
926,North Cottage Program Inc,MASSACHUSETTS,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
927,Marjorie Doyle Rockwell Center Inc,NEW_YORK,HUMAN_SERVICES,
928,Leith Inc Voluntary Employee Benefit Association Trust,NORTH_CAROLINA,OTHER,
929,Pa Treatment Healing,PENNSYLVANIA,CRIME_LEGAL_RELATED,STATE
930,Carpenters Health Security Trust Of Western Washington,WASHINGTON,OTHER,
931,San Diego Education Association,CALIFORNIA,OTHER,
932,Tulsa Honor Academy,OKLAHOMA,K_12,NATIONAL
933,El Castillo Retirement Residences,NEW_MEXICO,HUMAN_SERVICES,
934,Institute Of World Politics,DISTRICT_OF_COLUMBIA,INTERNATIONAL_FOREIGN_AFFAIRS_NATIONAL_SECURITY,
935,Iowa Jag Inc,IOWA,YOUTH_DEVELOPMENT,
936,Mercy Harvard Hospital Inc,ILLINOIS,HEALTH_CARE,
937,Kipp Chicago Schools,ILLINOIS,K_12,STATE
938,Canterbury School Corporation,FLORIDA,K_12,
939,Icd International Center For The Disabled Inc,NEW_YORK,UNCATEGORIZED,
940,Delta Gamma Foundation,OHIO,COMMUNITY,STATE
941,Medical Library Association Inc,ILLINOIS,OTHER,
942,Health Well Foundation,MARYLAND,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,
943,Adeline E Prouty Estate Greenfield,ILLINOIS,HEALTH_CARE,
944,Sejong Cultural Education Inc,NEW_JERSEY,RECREATION_SPORTS,STATE
945,Barefoot Republic Inc,TENNESSEE,YOUTH_DEVELOPMENT,
946,Rocking Horse Childrens Health Center,OHIO,HEALTH_CARE,STATE
947,Milford Health Medical Inc,CONNECTICUT,HEALTH_CARE,
948,Regional Learning Alliance,PENNSYLVANIA,COMMUNITY,
949,Special Olympics Illinois,ILLINOIS,HUMAN_SERVICES,STATE
950,National Education Association Of New Mexico Inc,NEW_MEXICO,OTHER,NATIONAL
951,Orange County Asian And Pacific Islander Community Alliance Inc,CALIFORNIA,MENTAL_HEALTH_CRISIS_INTERVENTION,
952,Overtown Youth Center Inc,FLORIDA,YOUTH_DEVELOPMENT,STATE
953,Wahiawa General Hospital,HAWAII,HEALTH_CARE,
954,Trinity Christian Academy Incorporated,TENNESSEE,K_12,
955,Wichita Festivals Inc,KANSAS,RECREATION_SPORTS,STATE
956,Ministry With Community Inc,MICHIGAN,HUMAN_SERVICES,STATE
957,Granite State Economic Development Corp,NEW_HAMPSHIRE,OTHER,
958,West End Neighborhood House Inc,DELAWARE,HUMAN_SERVICES,
959,Accelerate Institute,ILLINOIS,K_12,
960,Anxiety And Depression Association Of America,MARYLAND,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
961,Wraparound Maryland,MARYLAND,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
962,Little Company Of Mary Hospital Of Indiana Inc,INDIANA,HEALTH_CARE,NATIONAL
963,Durham Asset Management Company Incorporated,NORTH_CAROLINA,HEALTH_CARE,NATIONAL
964,Northern Nevada Joint Apprentice Training Comm For Elec Industry,NEVADA,UNCATEGORIZED,NATIONAL
965,Holy Redeemer Health System,PENNSYLVANIA,HEALTH_CARE,
966,Open Doors For Multicultural Families,WASHINGTON,HUMAN_SERVICES,
967,West Michigan Radiation Oncology,MICHIGAN,HEALTH_CARE,NATIONAL
968,Commons Of Providence,OHIO,HEALTH_CARE,
969,Arcil Inc,TEXAS,HUMAN_SERVICES,
970,Foodbank Council Of Michigan Inc,MICHIGAN,FOOD_AGRICULTURE_NUTRITION,NATIONAL
971,Advancing Opportunities Inc,NEW_JERSEY,UNCATEGORIZED,
972,Childrens Cancer Center Inc,FLORIDA,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,STATE
973,American Society Of Animal Science Inc,ILLINOIS,OTHER,NATIONAL
974,Metropolitan Club Inc,NEW_YORK,OTHER,STATE
975,Andrews University,MICHIGAN,HIGHER_EDUCATION,
976,Duncaster Incorporated,CONNECTICUT,HUMAN_SERVICES,
977,Institute For Practical Idealism Dba Youth Leaders For The Future A,VIRGINIA,INTERNATIONAL_FOREIGN_AFFAIRS_NATIONAL_SECURITY,STATE
978,Ronald Mc Donald House Charities Of Nashville Tn Inc,TENNESSEE,HUMAN_SERVICES,NATIONAL
979,Muslims For Progressive Values,CALIFORNIA,RELIGION_RELATED,STATE
980,Lora Alliance Inc,CALIFORNIA,SCIENCE_TECHNOLOGY,
981,I Am Als,DISTRICT_OF_COLUMBIA,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,NATIONAL
982,Northland Health Partners Community,NORTH_DAKOTA,HEALTH_CARE,STATE
983,Northern California Youth And Family Program,CALIFORNIA,HUMAN_SERVICES,NATIONAL
984,Dogs Deserve Better Inc,VIRGINIA,OTHER,
985,Shelter Box Usa,FLORIDA,PUBLIC_SAFETY_DISASTER_PREPAREDNESS_RELIEF,STATE
986,Welcome House Inc,OHIO,HUMAN_SERVICES,
987,Save Our Springs Alliance Inc,TEXAS,ENVIRONMENT,
988,Zeta Charter Schools Inc,NEW_YORK,OTHER,STATE
989,Nevada Museum Of Art Inc,NEVADA,ARTS_CULTURE_HUMANITIES,
990,Touro University,NEW_YORK,HIGHER_EDUCATION,
991,Boston Healthnet Corporation,MASSACHUSETTS,OTHER,
992,National Park Trust Inc,MARYLAND,ENVIRONMENT,
993,American Legion,MINNESOTA,UNCATEGORIZED,
994,Seawanhaka Corinthian Yacht Club,NEW_YORK,OTHER,
995,Indigenous Peoples Task Force,MINNESOTA,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,NATIONAL
996,The National Center For Science Education Inc,CALIFORNIA,COMMUNITY,
997,Medical Center Of Peach County Inc,GEORGIA,HEALTH_CARE,
998,South Bay Community Services,CALIFORNIA,HUMAN_SERVICES,STATE
999,Pine View Manor Inc,MISSOURI,HEALTH_CARE,STATE
1000,Habitat For Humanity Lacrosse Area,,HUMAN_SERVICES,
1001,Greater Lansing Food Bank,MICHIGAN,FOOD_AGRICULTURE_NUTRITION,STATE
1002,Ibew Neca Sound And Communications Health And Welfare Tr,CALIFORNIA,OTHER,STATE
1003,Aroostook County Action Program Inc,MAINE,CRIME_LEGAL_RELATED,
1004,Dollar General Literacy Foundation,TENNESSEE,OTHER,
1005,Nfa Foundation Inc,CONNECTICUT,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,
1006,Episcopal Church Home Of Minnesota,MINNESOTA,RELIGION_RELATED,NATIONAL
1007,Alliance Rehabilitative Care Inc,NORTH_CAROLINA,UNCATEGORIZED,
1008,Irvine Barclay Theatre Operating Co,CALIFORNIA,ARTS_CULTURE_HUMANITIES,NATIONAL
1009,Atc Health Promotion Foundation,TEXAS,HEALTH_CARE,NATIONAL
1010,New Riley House,OREGON,HOUSING_SHELTER,STATE
1011,Better Business Bureau Northwest The Pacific,IDAHO,OTHER,NATIONAL
1012,Queens Village Day School,NEW_YORK,K_12,STATE
1013,Ican Inc,OHIO,UNKNOWN,
1014,Adirondack Medical Center Foundation,NEW_YORK,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,STATE
1015,Mainhealth Services,MAINE,HEALTH_CARE,STATE
1016,Monterey Zoological Society,CALIFORNIA,ANIMAL_RELATED,
1017,Leaders Industries,NEW_MEXICO,HUMAN_SERVICES,STATE
1018,Riverside School Inc,UTAH,K_12,STATE
1019,Oregon Childrens Theatre Company,OREGON,ARTS_CULTURE_HUMANITIES,STATE
1020,Hockaday School,TEXAS,K_12,STATE
1021,Diocese Of Baton Rouge Child Nutrition Program,LOUISIANA,UNCATEGORIZED,
1022,Covenant College Inc,GEORGIA,HIGHER_EDUCATION,
1023,Memorial Foundation Inc,TENNESSEE,HEALTH_CARE,NATIONAL
1024,Hospice And Palliative Care Of Tidewater,VIRGINIA,HUMAN_SERVICES,
1025,Center Park Senior Apartments Inc,MINNESOTA,HUMAN_SERVICES,
1026,Human Services Network Inc,FLORIDA,FOOD_AGRICULTURE_NUTRITION,
1027,Youth And Family Alliance,TEXAS,HUMAN_SERVICES,
1028,Roessler Chadwick Foundation,CALIFORNIA,K_12,
1029,The Woodlands Christian Academy,TEXAS,K_12,
1030,Crossroad Child Family Services Inc,INDIANA,HUMAN_SERVICES,
1031,American Osteopathic Association,ILLINOIS,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,
1032,Mcnc Endowment,NORTH_CAROLINA,SCIENCE_TECHNOLOGY,
1033,Austin Board Of Realtors,TEXAS,UNCATEGORIZED,
1034,Big Brothers Big Sisters Of Utah,UTAH,YOUTH_DEVELOPMENT,
1035,Community Living Campaign,CALIFORNIA,CIVIL_RIGHTS_SOCIAL_ACTION_ADVOCACY,
1036,Inspire Charter School South,CALIFORNIA,K_12,NATIONAL
1037,Learningspring School,NEW_YORK,K_12,
1038,Colorectal Cancer Alliance Inc,DISTRICT_OF_COLUMBIA,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,NATIONAL
1039,Dairy Herd Improvement Association Heart Of America,NEBRASKA,OTHER,STATE
1040,American Clinical Laboratory Association,DISTRICT_OF_COLUMBIA,OTHER,
1041,Albert Einstein College Of Medicine,NEW_YORK,HIGHER_EDUCATION,NATIONAL
1042,Greater Fort Wayne Metro Chamber Alliance Inc,INDIANA,OTHER,
1043,Jewish Association On Aging,PENNSYLVANIA,HEALTH_CARE,NATIONAL
1044,Seneca Zoological Society,NEW_YORK,ANIMAL_RELATED,
1045,Family Care Centers Inc,PENNSYLVANIA,UNCATEGORIZED,NATIONAL
1046,Alternative Paths Inc,OHIO,MENTAL_HEALTH_CRISIS_INTERVENTION,
1047,Spokane Guilds School And Neuromuscular Center,WASHINGTON,K_12,STATE
1048,International Masonry Institute,DISTRICT_OF_COLUMBIA,UNCATEGORIZED,NATIONAL
1049,Rescue Mission Of El Paso Inc,TEXAS,HOUSING_SHELTER,
1050,Apt Foundation,ALABAMA,HIGHER_EDUCATION,
1051,Catholic Charities Of The Diocese Of Odgensburg,NEW_YORK,HUMAN_SERVICES,STATE
1052,Building Lives For Better Future Inc,CALIFORNIA,HUMAN_SERVICES,
1053,Society Of International Business Fellows Ltd,GEORGIA,OTHER,
1054,Constitutional Accountability Center,DISTRICT_OF_COLUMBIA,CRIME_LEGAL_RELATED,NATIONAL
1055,Saint Joseph Hospital,COLORADO,HEALTH_CARE,STATE
1056,Family Health Initiatives Inc,NEW_JERSEY,HEALTH_CARE,STATE
1057,Pedigree Foundation,TENNESSEE,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,STATE
1058,Writers In The Schools,TEXAS,OTHER,
1059,Safe Place And Rape Crisis Center Inc,FLORIDA,HUMAN_SERVICES,STATE
1060,Elon Homes For Children,NORTH_CAROLINA,HUMAN_SERVICES,NATIONAL
1061,The Medical Center At Ocean Reef Inc,FLORIDA,UNCATEGORIZED,NATIONAL
1062,Child Advocates Incorporated,TEXAS,HUMAN_SERVICES,STATE
1063,Housing Works Inc,NEW_YORK,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,STATE
1064,Washington County Mental Health Services Inc,VERMONT,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
1065,Ezequiel Tafoya Alvarado Academy,CALIFORNIA,K_12,NATIONAL
1066,La Esperanza Clinic Inc,TEXAS,HUMAN_SERVICES,
1067,Los Angeles Education Partnership,CALIFORNIA,K_12,STATE
1068,Unlimited Possabilities Inc,WEST_VIRGINIA,HEALTH_CARE,NATIONAL
1069,Public Health Management Corporation,PENNSYLVANIA,HEALTH_CARE,
1070,Fga Action Inc,FLORIDA,COMMUNITY_IMPROVEMENT_CAPACITY_BUILDING,STATE
1071,Alumni Association Of The University Of Oregon,OREGON,HIGHER_EDUCATION,
1072,Epilepsy Foundation Of Greater Chicago,ILLINOIS,VOLUNTARY_HEALTH_ASSOCIATIONS_MEDICAL_DISCIPLINES,NATIONAL
1073,Mississippi State University Foundation Inc,MISSISSIPPI,HUMAN_SERVICES,
1074,Friends Of Sheba Medical Center Inc,CALIFORNIA,HEALTH_CARE,
1075,Herbie Hancock Institute Of Jazz,DISTRICT_OF_COLUMBIA,ARTS_CULTURE_HUMANITIES,
1076,Pataula Charter Academy Inc,GEORGIA,K_12,NATIONAL
1077,Alef Fund Inc,GEORGIA,OTHER,
1078,Savannah Jewish Council Inc,GEORGIA,RELIGION_RELATED,STATE
1079,Tennessee Education Association Inc,TENNESSEE,OTHER,NATIONAL
1080,Esalen Institute,CALIFORNIA,OTHER,
1081,Democracy At Work Institute,CALIFORNIA,EMPLOYMENT,
1082,Community Action Kentucky Inc,KENTUCKY,COMMUNITY_IMPROVEMENT_CAPACITY_BUILDING,STATE
1083,Young Mens Christian Association Of East Tennessee Inc,TENNESSEE,HUMAN_SERVICES,NATIONAL
1084,Wichita Art Museum Inc,KANSAS,ARTS_CULTURE_HUMANITIES,NATIONAL
1085,University Retirement Community At Davis Inc,CALIFORNIA,HUMAN_SERVICES,
1086,Maria Montessori Charter Academy,CALIFORNIA,K_12,STATE
1087,Forest History Society Inc,NORTH_CAROLINA,ENVIRONMENT,STATE
1088,University Of Maryland Medical System Foundation Inc,MARYLAND,HEALTH_CARE,
1089,Cuesta College Foundation,CALIFORNIA,HIGHER_EDUCATION,
1090,Research Foundation Of The City University Of New York,NEW_YORK,HIGHER_EDUCATION,NATIONAL
1091,Virginia Beach Events Unlimited Inc,VIRGINIA,RECREATION_SPORTS,NATIONAL
1092,Florida Memorial University Inc,FLORIDA,HIGHER_EDUCATION,STATE
1093,Wxxi Public Broadcasting Council,NEW_YORK,ARTS_CULTURE_HUMANITIES,
1094,Raleigh Regional Association Of Realtors Inc,NORTH_CAROLINA,OTHER,
1095,National Association For Campus Activities,SOUTH_CAROLINA,RELIGION_RELATED,STATE
1096,Centrastate Medical Center Inc,NEW_JERSEY,HEALTH_CARE,STATE
1097,Solomon R Guggenheim Foundation,NEW_YORK,ARTS_CULTURE_HUMANITIES,STATE
1098,Catholic Charities Neighborhood Services Inc,NEW_YORK,HUMAN_SERVICES,
1099,Associated School Boards Of South Dakota,SOUTH_DAKOTA,K_12,
1100,Adventist Health International,CALIFORNIA,INTERNATIONAL_FOREIGN_AFFAIRS_NATIONAL_SECURITY,STATE
1101,Summit Academy Community School Cincinnati,OHIO,K_12,STATE
1102,The Palm Beach Symphony Society Inc,FLORIDA,ARTS_CULTURE_HUMANITIES,STATE
1103,Early Childhood Academy Public Charter School,DISTRICT_OF_COLUMBIA,K_12,STATE
1104,South Jamaica Center For Children And Parents Inc,NEW_YORK,K_12,NATIONAL
1105,Jewish Federation Of Howard County Inc,MARYLAND,PHILANTHROPY_VOLUNTARISM_GRANTMAKING_FOUNDATIONS,
1106,Rainbow Valley Group Home Inc,CALIFORNIA,MENTAL_HEALTH_CRISIS_INTERVENTION,STATE
1107,The Education Foundation Of Collier County,FLORIDA,OTHER,
1108,Thomas M Cooley Law School,MICHIGAN,HIGHER_EDUCATION,STATE
1109,Abundant Life Christian Schoolfoundation Inc,WISCONSIN,OTHER,
1110,Children And Youth Justice Center,WASHINGTON,PUBLIC_SOCIETAL_BENEFIT,NATIONAL
1111,Covenant Place Of Sumter Inc,SOUTH_CAROLINA,HUMAN_SERVICES,NATIONAL
1112,Network Of Victim Assistance,PENNSYLVANIA,HUMAN_SERVICES,
1113,Southwestern Wisconsin Community Action Program Inc,WISCONSIN,COMMUNITY_IMPROVEMENT_CAPACITY_BUILDING,
1114,Nuru International,DISTRICT_OF_COLUMBIA,COMMUNITY_IMPROVEMENT_CAPACITY_BUILDING,
1115,Sea Mar Skilled Nursing Facility,WASHINGTON,UNCATEGORIZED,
1116,Prince William Health System,NORTH_CAROLINA,HEALTH_CARE,
1117,West Texas Opportunities,TEXAS,HUMAN_SERVICES,
1118,Chester County Hospital Foundation,PENNSYLVANIA,HEALTH_CARE,
1119,South Brevard Womens Center Inc,FLORIDA,HUMAN_SERVICES,
1120,Dominican Republic Education And Mentoring Project Inc,VERMONT,K_12,NATIONAL
1121,Christian Living Neighborhoods,COLORADO,RELIGION_RELATED,STATE
1122,Humane Society Of Summit County,OHIO,ANIMAL_RELATED,
1123,Society Of The Divine Word,ILLINOIS,RELIGION_RELATED,
1124,Conservation Corps North Bay Inc,CALIFORNIA,YOUTH_DEVELOPMENT,NATIONAL
1125,Gundersen Lutheran Health System Inc,WISCONSIN,HEALTH_CARE,STATE
1126,Williamson Health Wellness Center Inc,WEST_VIRGINIA,HEALTH_CARE,
1127,Minnesota Marine Art Museum,MINNESOTA,ARTS_CULTURE_HUMANITIES,
1128,Emily Cooperative Telephone Company,MINNESOTA,OTHER,STATE
1129,Focus Learning Academy Of Southwestern Columbus,OHIO,OTHER,
1130,Georgia Alliance Of Community Hospitals Inc,GEORGIA,HEALTH_CARE,STATE
1131,Hospice Of Tuscarawas County Inc,OHIO,HUMAN_SERVICES,STATE
1132,Boys And Girls Club Of Central Arkansas,ARKANSAS,YOUTH_DEVELOPMENT,STATE
1133,Dig Deep,CALIFORNIA,ENVIRONMENT,NATIONAL
1134,Swedish Club Foundation,WASHINGTON,ARTS_CULTURE_HUMANITIES,NATIONAL
1135,Davis Elkins College,WEST_VIRGINIA,HIGHER_EDUCATION,NATIONAL
1136,Mastery Charter School Harrity Elementary,PENNSYLVANIA,K_12,
1137,Little Sisters Of The Poor,OHIO,HEALTH_CARE,
1138,University Of The Southwest,NEW_MEXICO,HIGHER_EDUCATION,
1139,Spectrum High School,MINNESOTA,K_12,NATIONAL
1140,Albany Medical Center Group Organization,NEW_YORK,HEALTH_CARE,
1141,Association For Progressive Communications,NEW_YORK,OTHER,
1142,International Agri Center,CALIFORNIA,FOOD_AGRICULTURE_NUTRITION,
